Approval Year,Member,Sector,Financing Type,Project Name,Financing Amount,Status
2024,Tajikistan,Energy,Sovereign,Tajikistan: Rogun Hydropower Development Project – Phase 1,Approved Financing: USD270 million,Approved
2020,Maldives,CRF-Public Health,Sovereign,Maldives: COVID- 19 Emergency Response and Health Systems Preparedness Project,Approved Financing: USD7.30 million,Approved
-,Nepal,Energy,Sovereign,Nepal: Dudhkoshi Storage Hydroelectric Project,Proposed Funding: USD200 million,Proposed
2020,Uzbekistan,Water,Sovereign,Uzbekistan: Bukhara Region Water Supply and Sewerage (BRWSSP),Approved Financing: USD385.1 million,Approved
-,Türkiye,Other Productive Sector,Nonsovereign,Türkiye: GRT Climate Facility,Proposed Funding: USD75 million,Proposed
2025,India,Multi-sector,Nonsovereign,India: ABFL Sustainable Infrastructure Financing,Approved Financing: USD150 million,Approved
2026,Azerbaijan,Transport,Sovereign,Azerbaijan: Baku Metro Expansion Project – Phase I,Approved Financing: USD180 million,Approved
2024,Viet Nam,Multi-sector,Nonsovereign,Viet Nam: Supporting infrastructure development and climate financing in Viet Nam with second facility with VPBank,Approved Financing: USD150 million,Approved
2024,China,Multi-sector,Nonsovereign,China: JC Leasing Green and Blue Loan,Approved Financing: USD100 million,Approved
2024,China,Transport,Sovereign,China: Hubei Global Air Cargo Logistics Project (Previously: Hubei Global Air Cargo Logistics Hub Project),Approved Financing: USD400 million,Approved
-,Mongolia,Multi-sector,Nonsovereign,Mongolia: Mongolia Khan Bank Green Loan,Proposed Funding: USD130 million,Proposed
2026,Multicountry,Multi-sector,Nonsovereign,Multicounty: TPG Rise Climate Global South Initiative Fund,Approved Financing: USD100 million,Approved
-,South Africa,Urban,Sovereign,South Africa: South Africa Metro Trading Services Program,Proposed Funding: USD500 million,Proposed
2026,India,Multi-sector,Nonsovereign,India: Shriram Sustainable On- Lending Facility II,Approved Financing: USD250 million,Approved
-,India,Transport,Sovereign,India: Haryana Orbital Rail Corridor Part B Project,Proposed Funding: USD266.64 million,Proposed
2022,Multicountry,Multi-sector,Nonsovereign,Multicountry: AIIB Venture Capital (“VC”) Investment Program for Green and Technology- Enabled Infrastructure (the “VC Program”),Approved Financing: USD130 million,Approved
2021,China,Transport,Sovereign,China: Liaoning Green Smart Public Transport Demonstration Project,Approved Financing: USD150 million,Approved
2020,Uzbekistan,CRF-Public Health,Sovereign,Uzbekistan: Healthcare Emergency Response Project,Approved Financing: USD100 million,Approved
2024,Tajikistan,Transport,Sovereign,Tajikistan: Obigarm- Nurobod Road Project – Long Bridge and Approaches,Approved Financing: USD75.5 million,Approved
2024,Rwanda,Energy,Sovereign,Rwanda: Accelerating Sustainable and Clean Energy Transformation (ASCENT) Rwanda,Approved Financing: USD100 million,Approved
2021,Pakistan,Urban,Sovereign,Pakistan: Khyber Pakhtunkhwa Cities Improvement Project,Approved Financing: USD200 million,Approved
2019,India,Water,Sovereign,India: West Bengal Major Irrigation and Flood Management,Approved Financing: USD145 million,Approved
2021,India,Urban,Sovereign,India: Chennai City Partnership: Sustainable Urban Services Program,Approved Financing: USD150 million,Approved
2023,Egypt,Multi-sector,Sovereign,Egypt: Egypt Sustainable Transport and Digital Infrastructure Guarantee,Approved Financing: USD200 million,Approved
2021,China,Transport,Sovereign,China: Guangxi Chongzuo Border Connectivity Improvement Project,Approved Financing: USD300 million,Approved
2022,China,Transport,Sovereign,China: Zhengzhou International Logistics Hub (Previously: Zhengzhou International Hub Expansion),Approved Financing: USD150 million,Approved
2022,Cambodia,CRF-Public Health,Sovereign,Cambodia: Cambodia Rapid Immunization Support and Resilient Health Infrastructure Project,Approved Financing: USD50 million,Approved
2026,Thailand,Urban,Nonsovereign,Thailand : Gulf Industrial Waste to Energy Project,Approved Financing: USD63 million,Approved
2025,Cambodia,Transport,Sovereign,Cambodia: National Restoration of Rural Productive Capacity Project - II (NRRPCP-II),Approved Financing: USD80 million,Approved
2019,Lao PDR,Transport,Sovereign,Lao People’s Democratic Republic: National Road 13 Improvement and Maintenance Project,Approved Financing: USD40 million,Approved
-,Philippines,Transport,Nonsovereign,Philippines: Project Crane,Proposed Funding: USD300 million,Proposed
2025,Uzbekistan,Transport,Sovereign,Uzbekistan: Karakalpakstan and Khorezm Local Roads Network Reconstruction Project,Approved Financing: USD173.47 million,Approved
2022,Viet Nam,Education Infrastructure,Nonsovereign,Viet Nam: Keppel- Pierfront Private Credit Fund L.P. Co-Investment: Project Voluminous,Approved Financing: USD20 million,Approved
2025,India,Energy,Sovereign,India: Assam Intra State Transmission System Enhancement Phase II,Approved Financing: USD140.61 million,Approved
2025,Pakistan,Water,Sovereign,Pakistan: Lahore Wastewater and Drainage Management Project,Approved Financing: USD160 million,Approved
2021,Pakistan,Energy,Sovereign,Pakistan: Balakot Hydropower Development Project,Approved Financing: USD250 million,Approved
2018,Türkiye,Energy,Sovereign,Türkiye: Tuz Golu Türkiye Gas Storage Expansion Project,Approved Financing: USD600 million,Approved
2025,Brazil,Multi-sector,Sovereign,Brazil: The Program for Development and Resilience for the Southern Region Project,Approved Financing: USD300 million,Approved
2025,Morocco,Multi-sector,Sovereign,Morocco: Morocco Climate Operation - Support to the Nationally Determined Contribution Program,Approved Financing: USD200 million,Approved
2016,Pakistan,Energy,Sovereign,Pakistan: Tarbela 5 Hydropower Extension,Approved Financing: USD300 million,Approved
2022,India,Transport,Sovereign,India: Assam Secondary Road Network Improvement Project,Approved Financing: USD320 million,Approved
2025,Türkiye,Multi-sector,Sovereign,Türkiye: VakifBank Climate Transition and Reconstruction Facility,Approved Financing: USD300 million,Approved
2019,China,Energy,Sovereign,China: Beijing- Tianjin-Hebei Low Carbon Energy Transition and Air Quality Improvement Project,Approved Financing: USD500 million,Approved
2025,China,Transport,Nonsovereign,China: Ping An Leasing E-Mobility Financing Project – Loan,Approved Financing: USD125 million,Approved
2017,India,Transport,Sovereign,India: Bangalore Metro Rail Project - Line R6,Approved Financing: USD335 million,Approved
2025,Uzbekistan,Energy,Nonsovereign,Uzbekistan: Bash 2 - 300MW Wind Power Plant,Approved Financing: USD115 million,Approved
-,Jordan,Water,Nonsovereign,Jordan: Aqaba- Amman Water Desalination and Conveyance Project (AAWDCP),Proposed Funding: USD250 million,Proposed
2021,Uzbekistan,Energy,Nonsovereign,"Uzbekistan: Sirdarya 1,500MW CCGT Power Project",Approved Financing: USD100 million,Approved
2017,Egypt,Energy,Nonsovereign,Egypt: Egypt Round II Solar PV Feed-in Tariffs Program,Approved Financing: USD210 million,Approved
2025,Indonesia,Energy,Nonsovereign,Indonesia: Proyek Hijaunesia Staple Financing – Pasuruan 100 MW Solar PV Project,Approved Financing: USD21 million,Approved
2019,Türkiye,Energy,Nonsovereign,Türkiye: Efeler 97.6MWE Geothermal Power Plant Expansion Project,Approved Financing: USD100 million,Approved
2024,Türkiye,Energy,Nonsovereign,Türkiye: İçtaş Enerji YEKA Erzin-II Hatay 100MW Solar PV Project,Approved Financing: USD32.5 million,Approved
2025,Brazil,Multi-sector,Sovereign,Brazil: Brazil Value- Enhancing Reforms for Development and Ecological Sustainability (VERDES) Climate Policy-Based Financing,Approved Financing: USD1000 million,Approved
2020,Oman,Energy,Nonsovereign,Oman: Ibri II 500MW Solar PV Independent Power Plant Project,Approved Financing: USD60 million,Approved
2019,Multicountry,Multi-sector,Nonsovereign,Multicountry: Asia Climate Bond Portfolio,Approved Financing: USD500 million,Approved
2022,Uzbekistan,Transport,Sovereign,Uzbekistan: Bukhara-Miskin- Urgench-Khiva Railway Electrification Project,Approved Financing: USD108 million,Approved
2023,Türkiye,Multi-sector,Sovereign,Türkiye: Turk Eximbank Earthquake Response Project (Component B of the previously Türkiye: Turk Eximbank Green Infrastructure Support and Earthquake Response Project),Approved Financing: USD100 million,Approved
2023,Kazakhstan,CRF-Economic Resilience/PBF,Sovereign,Kazakhstan: Fiscal Governance and Financial Sector Reforms Program,Approved Financing: USD350 million,Approved
2022,India,Energy,Sovereign,India: Assam Electricity Distribution System Enhancement Project,Approved Financing: USD386 million,Approved
2024,Georgia,Transport,Sovereign,Georgia: Tbilisi Metro Modernization Project,Approved Financing: EUR125 million,Approved
2021,China,Water,Sovereign,China: Henan Flood Emergency Rehabilitation and Recovery Project,"Approved Financing: USD1,000 million",Approved
2024,Cambodia,Water,Sovereign,Cambodia: Integrated Water Resources Management Project,Approved Financing: USD80 million,Approved
2025,Bangladesh,Other,Sovereign,Bangladesh: Climate Resilient Inclusive Development Program (Subprogram 2),Approved Financing: USD400 million,Approved
2025,Türkiye,Transport,Sovereign,Türkiye: TCDD Railway Maintenance Modernization Project,Approved Financing: USD365 million,Approved
2024,Türkiye,Urban,Sovereign,Türkiye: Istanbul Seismic Risk Mitigation and Emergency Preparedness - 2,Approved Financing: USD335 million,Approved
2025,Kyrgyzstan,Multi-sector,Sovereign,"Kyrgyzstan: Developing a Sustainable Finance Market for Micro-, Small-, or Medium Enterprises (MSMEs) Project",Approved Financing: USD50 million,Approved
-,Côte d'Ivoire,Transport,Sovereign,Côte d’Ivoire: Agricultural Zones Connectivity Project (AZCP),Proposed Funding: USD96.4 million,Proposed
2021,Rwanda,CRF- Finance/Liquidity,Sovereign,Rwanda: Private- Sector Access to Finance for Post- COVID Recovery and Resilience,Approved Financing: USD100 million,Approved
2025,Brazil,Multi-sector,Sovereign,"Brazil: Recovery and Trade- Facilitation Project in Guaíba, Rio Grande do Sul",Approved Financing: USD70 million,Approved
2020,Bangladesh,Water,Sovereign,"Bangladesh: Rural Water, Sanitation and Hygiene for Human Capital Development Project",Approved Financing: USD200 million,Approved
2024,Bangladesh,Energy,Sovereign,Bangladesh: Southern Chattogram and Kaliakoir Transmission Infrastructure Development Project,Approved Financing: USD160 million,Approved
2020,Bangladesh,Transport,Sovereign,Bangladesh: Sylhet to Tamabil Road Upgrade Project,Approved Financing: USD404 million,Approved
2020,Cambodia,CRF-Economic Resilience/PBF,Sovereign,Cambodia: National Restoration of Rural Productive Capacity Project,Approved Financing: USD60 million,Approved
2023,China,Transport,Sovereign,China: Yunnan Kunming Changshui Airport Expansion and Green Development Project,Approved Financing: USD500 million,Approved
2022,Egypt,Transport,Sovereign,Egypt: Alexandria – Abou Qir Metro Line,Approved Financing: EUR250 million,Approved
2017,Georgia,Transport,Sovereign,Georgia: Batumi Bypass Road,Approved Financing: USD114 million,Approved
2018,India,Transport,Sovereign,India: Andhra Pradesh Rural Roads,Approved Financing: USD455 million,Approved
2021,India,Urban,Sovereign,India: Kerala Solid Waste Management Project,Approved Financing: USD105 million,Approved
2023,Jordan,CRF-Economic Resilience/PBF,Sovereign,"Jordan: Additional Financing for Inclusive, Transparent and Climate Responsive Investments Program",Approved Financing: USD200 million,Approved
2021,Jordan,CRF-Economic Resilience/PBF,Sovereign,Jordan: Inclusive Transparent and Climate Responsive Investments Program for Results (the Program or PforR),Approved Financing: USD250 million,Approved
2024,Philippines,Transport,Sovereign,Philippines: Facility for Accelerating Studies for Infrastructure (FAST-Infra),Approved Financing: USD44 million,Approved
2024,Philippines,Transport,Sovereign,Philippines: Laguna Lakeshore Road Network (Phase 1) Project,Approved Financing: USD188.18 million,Approved
2017,Tajikistan,Energy,Sovereign,"Tajikistan: Nurek Hydropower Rehabilitation, Phase I",Approved Financing: USD60 million,Approved
2024,Türkiye,Transport,Sovereign,Türkiye: Eastern Türkiye Middle Corridor Railway Development Project,Approved Financing: USD250 million,Approved
2023,Türkiye,Multi-sector,Sovereign,Türkiye: Turk Eximbank Green Infrastructure Support Project (Component A of the previously Türkiye: Turk Eximbank Green Infrastructure Support and Earthquake Response Project),Approved Financing: USD200 million,Approved
2024,Uzbekistan,Other,Sovereign,"Uzbekistan: Accelerating the Uzbekistan Climate Transition for Green, Inclusive, and Resilient Economic Growth (Subprogram 1)",Approved Financing: USD250 million,Approved
2022,Uzbekistan,Water,Sovereign,Uzbekistan: Bukhara Region Water Supply and Sewerage Phase II (BRWSSP II),Approved Financing: USD248.4 million,Approved
2020,Uzbekistan,Transport,Sovereign,Uzbekistan: Bukhara Road Network Improvement Project (Phase 1),Approved Financing: USD165.5 million,Approved
2023,Egypt,Transport,Nonsovereign,Egypt: Damietta Port - Container Terminal II,Approved Financing: USD100 million,Approved
2024,Multicountry,Energy,Nonsovereign,Multicountry: ENGIE Sustainability Linked Green Loan,Approved Financing: EUR75 million,Approved
2019,Kazakhstan,Energy,Nonsovereign,Kazakhstan: Zhanatas 100 MW Wind Power Plant,Approved Financing: USD46.7 million,Approved
-,Uzbekistan,Transport,Sovereign,Uzbekistan: Bukhara Road Network Improvement Project Phase 2,Proposed Funding: USD150 million,Proposed
2022,Brazil,Multi-sector,Nonsovereign,Brazil: BDMG Renewables and Asia Connectivity Facility,Approved Financing:,Approved
2022,China,Multi-sector,Nonsovereign,China: Haier Social Infrastructure Leasing,Approved Financing: USD100 million,Approved
2021,Türkiye,Urban,Nonsovereign,Türkiye: Istanbul Waste to Energy Generation Project (Previously: Construction and Operation of a Waste Incineration and Energy Generation Plant),Approved Financing: EUR 100 million,Approved
2021,Türkiye,CRF- Finance/Liquidity,Nonsovereign,Türkiye: Türkiye Isbank COVID-19 Credit Line Project,Approved Financing: USD100 million,Approved
2021,Georgia,CRF- Finance/Liquidity,Nonsovereign,Georgia: TBC Bank COVID-19 Credit Line Project,Approved Financing: USD100 million,Approved
2025,Kazakhstan,Transport,Sovereign,Kazakhstan: Reconstruction of M-32 Highway Aktobe-Karabutak- Ulgaisyn Section Project,Approved Financing: USD450 Million,Approved
2025,India,Energy,Nonsovereign,India: ReNew Peak Power Project,Approved Financing: USD100 million,Approved
2025,Uzbekistan,Multi-sector,Sovereign,Uzbekistan: Uzbekistan Green and Resilient Market Economy Program,Approved Financing: USD500 million,Approved
2025,Uzbekistan,Energy,Nonsovereign,Uzbekistan: CEEC Uzbekistan BESS Green Loan,Approved Financing: USD150 million,Approved
2024,Thailand,Energy,Nonsovereign,Thailand: GULF Renewable Power Project,Approved Financing: USD170 million,Approved
2023,Georgia,Energy,Nonsovereign,Georgia: Georgia Capital Sustainability Linked Financing Facility,Approved Financing: USD30 million,Approved
2024,Türkiye,Transport,Nonsovereign,Türkiye: North Marmara Highway - Nakkaş-Başakşehir BOT Project,Approved Financing: EUR150 million,Approved
2023,India,Transport,Nonsovereign,India: Sustainable Transport Financing,Approved Financing: USD100 million,Approved
2025,Türkiye,Transport,Nonsovereign,Türkiye: Antalya Airport Expansion Project (Long Term Facility),Approved Financing: EUR202.5 million,Approved
-,Brazil,Energy,Nonsovereign,Brazil: Project HEFACo,Proposed Funding: USD100 million,Proposed
2025,Indonesia,Health Infrastructure,Sovereign,RSAB Harapan Kita Construction and Integration of Three Diamond Hospitals Project,Approved Financing: USD226.4 million,Approved
2025,Pakistan,Transport,Sovereign,"Pakistan: Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Approved Financing: USD500 million,Approved
2019,Sri Lanka,Urban,Sovereign,Sri Lanka: Support to Colombo Urban Regeneration Project,Approved Financing: USD200 million,Approved
2025,India,Transport,Nonsovereign,India: Electric Mobility Financing Project,Approved Financing: USD49 Million,Approved
2024,Kazakhstan,Health Infrastructure,Nonsovereign,Kazakhstan: Kokshetau PPP Hospital Project,Approved Financing: USD113.90 million,Approved
2022,Lao PDR,Energy,Nonsovereign,Lao PDR: Monsoon 600 MW Cross- border Wind Power Project,Approved Financing: USD150 million,Approved
2025,Georgia,Health Infrastructure,Nonsovereign,Georgia: Georgia Healthcare Group Social Financing,Approved Financing: USD30 million,Approved
2021,India,Energy,Nonsovereign,India: Enel Green 300 MW Solar Project - Rajasthan,Approved Financing: USD50 million,Approved
2020,India,Urban,Nonsovereign,India: HDFC Line of Credit for Affordable Housing,Approved Financing: USD200 million,Approved
2021,China,CRF-Public Health,Nonsovereign,China: FOSUN COVID-19 Response Project,Approved Financing: USD100 million,Approved
-,Kazakhstan,Transport,Sovereign,Kazakhstan: Reconstruction of A-27 Highway Atyrau-Dossor Section Project,Proposed Funding: USD238 million,Proposed
-,Türkiye,Water,Sovereign,Türkiye: Water Efficiency and Climate Resilience for Results Program (Results-Based Financing),Proposed Funding: USD500 million,Proposed
2020,Indonesia,Digital Infrastructure and Technology,Nonsovereign,Indonesia: Multifunctional Satellite PPP Project,Approved Financing: USD150 million,Approved
2022,Türkiye,Energy,Nonsovereign,Türkiye: Aklease Multisector Facility,Approved Financing: USD50 million,Approved
2025,Multicountry,Multi-sector,Nonsovereign,Multicountry: Keppel Private Credit Fund III,Approved Financing: USD125.5 million,Approved
2023,Uzbekistan,Multi-sector,Nonsovereign,"Uzbekistan: UzPSB Energy and Water Efficiency, and Renewables Bond Investment",Approved Financing: USD25 million,Approved
2025,Rwanda,Energy,Sovereign,Rwanda: Rwanda Energy Results- Based Financing Program,Approved Financing: USD100 million,Approved
2024,Uzbekistan,Multi-sector,Nonsovereign,Uzbekistan: Asakabank Energy Efficiency and Renewables Facility,Approved Financing: USD30 million,Approved
2020,Türkiye,CRF- Finance/Liquidity,Nonsovereign,Türkiye: Akbank COVID-19 Crisis Recovery Facility,Approved Financing: USD100 million,Approved
-,Papua New Guinea,Other,Sovereign,The Independent State of Papua New Guinea: Growth and Resilience Climate Policy- Based Financing (CPBF) with a Catastrophe Deferred Drawdown Option (Cat-DDO),Proposed Funding: USD112.5 million,Proposed
2023,China,Energy,Nonsovereign,China: Chongho Bridge Green Facility,Approved Financing: USD50 million,Approved
2023,Türkiye,Energy,Nonsovereign,Türkiye: Akbank Sustainable Energy Facility,Approved Financing: USD75 million,Approved
2024,India,Energy,Nonsovereign,India: SAEL Solar Power,Approved Financing: USD67 million,Approved
2024,Multicountry,Energy,Nonsovereign,Multicountry: Green Energy Capacity Expansion,Approved Financing: EUR100 million,Approved
2025,India,Urban,Nonsovereign,India: Green Affordable Housing Finance with IIFL Home Finance,Approved Financing: USD100 million,Approved
2024,India,Transport,Sovereign,India: Mumbai Metro Line 5,Approved Financing: USD200 million,Approved
2025,Indonesia,Urban,Sovereign,Indonesia: Solid Waste Management for Sustainable Urban Development Project,Approved Financing: USD150 million,Approved
2023,Romania,Energy,Nonsovereign,Romania: Banca Transilvania Green Mortgages Bond Investment,Approved Financing: EUR100 million,Approved
2017,Philippines,Water,Sovereign,Philippines: Metro Manila Flood Management,Approved Financing: USD207.6 million,Approved
2021,India,Water,Sovereign,India: Resilient Kerala Program for Results,Approved Financing: USD125 million,Approved
2024,India,Transport,Sovereign,"India: Manipur Urban Road, Drainage and Asset Management Improvement Project",Approved Financing: USD352.40 million,Approved
